author_list,affiliation,organization_type
Haesun Park,University 19,University
Jingu Kim,University 15,University
Levi Boyles,Company 29,Company
Max Welling,Company 17,Company
Changshui Zhang,University 18,University
Fei Wang 0001,Company 4,Company
Ole Winther,University 12,University
Shijun Wang,University 21,University
Dit-Yan Yeung,Company 16,Company
Wu-Jun Li,Company 16,Company
Zhihua Zhang,Company 24,Company
Daniel Lee,University 29,University
Ricky Der,University 23,University
Max Welling,University 12,University
Yutian Chen,University 28,University
Adityanand Guntuboyina,Company 4,Company
Bodhisattva Sen,University 23,University
Abdeslam Boularias,University 8,University
Jan Peters 0001,Company 5,Company
Jens Kober,University 16,University
Csaba Szepesvári,University 19,University
Dale Schuurmans,Company 1,Company
Yuxi Li,Company 14,Company
Alexander G. Gray,Company 15,Company
Ravi Ganti,Company 28,Company
David S. Rosenberg,University 14,University
Peter L. Bartlett,Company 4,Company
Michael Fink 0002,University 12,University
Clayton Scott,Company 27,Company
Gilles Blanchard,Company 19,Company
Florin Constantin,Company 29,Company
Lei Wang,University 11,University
Maria-Florina Balcan,Company 2,Company
Satoru Iwata 0001,Company 11,Company
Duy Nguyen-Tuong,Company 15,Company
Jan Peters 0001,Company 16,Company
Gideon Dror,University 17,University
Markus Weimer,Company 3,Company
Noam Koenigstein,University 29,University
Yehuda Koren,Company 21,Company
Antonio Torralba 0001,Company 11,Company
Joshua B. Tenenbaum,University 13,University
Ruslan Salakhutdinov,Company 8,Company
Jian Peng 0001,Company 11,Company
Jinbo Xu,Company 14,Company
Nathan Srebro,Company 12,Company
Tamir Hazan,University 3,University
Balaji Lakshminarayanan,University 21,University
Cédric Archambeau,University 20,University
Guillaume Bouchard,University 7,University
John W. Fisher III,University 24,University
Michael Siracusa,University 3,University
Guoqing Liu,Company 11,Company
Jianxin Wu 0001,Company 15,Company
Zhi-Hua Zhou,University 22,University
Gal Elidan,Company 7,Company
Hung-Yi Lo,University 11,University
Shou-De Lin,University 11,University
Tsung-Hsien Chiang,Company 25,Company
Miguel Á. Carreira-Perpiñán,University 23,University
Weiran Wang,Company 12,Company
Junhui Wang,Company 20,Company
Bharath K. Sriperumbudur,University 15,University
Gert R. G. Lanckriet,University 21,University
Kenji Fukumizu,University 14,University
Alessandro Lazaric,Company 26,Company
Mohammad Ghavamzadeh,Company 4,Company
Odalric-Ambrym Maillard,University 30,University
Rémi Munos,University 10,University
Ofer Dekel,Company 11,Company
Yonatan Amit,Company 10,Company
Yoram Singer,Company 29,Company
Daniel Tarlow,Company 20,Company
Richard S. Zemel,University 3,University
Ryan Prescott Adams,Company 5,Company
Andreas Argyriou,University 20,University
Jean Morales,University 19,University
Luca Baldassarre,University 23,University
Massimiliano Pontil,University 6,University
Alexander Böhm 0003,University 2,University
Karin J. Metzner,Company 12,Company
Sandhya Prabhakaran,Company 24,Company
Volker Roth 0001,University 23,University
Brendan J. Frey,Company 28,Company
Inmar E. Givoni,Company 25,Company
Jérémie Mary,University 26,University
Olivier Nicol,University 29,University
Philippe Preux,Company 27,Company
Christophe Salperwyck,Company 19,Company
Tanguy Urvoy,University 23,University
Guillaume Bouchard,Company 4,Company
Matthias W. Seeger,Company 15,Company
Dahua Lin,Company 4,Company
John W. Fisher III,Company 21,Company
Alexander J. Smola,Company 25,Company
Amr Ahmed,University 9,University
Choon Hui Teo,Company 20,Company
Eric P. Xing,Company 16,Company
Jacob Eisenstein,Company 12,Company
Qirong Ho,University 19,University
Csaba Szepesvári,Company 15,Company
Yasin Abbasi-Yadkori,Company 12,Company
Vladimir Gorodetsky,University 7,University
Vladimir Samoilov,Company 7,Company
Finale Doshi,Company 24,Company
Jurgen Van Gael,Company 10,Company
Kurt Miller,Company 30,Company
Yee Whye Teh,Company 9,Company
Andreas Stuhlmüller,Company 13,Company
David Wingate,Company 11,Company
Noah D. Goodman,Company 11,Company
Andrey Gulin,Company 18,Company
Dmitry Pavlov,University 27,University
Igor Kuralenok,University 1,University
Daniel Jurafsky,Company 1,Company
Hiyan Alshawi,Company 16,Company
Valentin I. Spitkovsky,Company 15,Company
Dean P. Foster,Company 22,Company
Lyle H. Ungar,Company 28,Company
Paramveer S. Dhillon,Company 14,Company
Sanjay Chawla,University 23,University
Chao-Kai Chiang,University 2,University
Chi-Jen Lu,University 24,University
Chia-Jung Lee,Company 3,Company
Mehrdad Mahdavi,University 23,University
Rong Jin 0001,University 22,University
Shenghuo Zhu,University 3,University
Tianbao Yang,University 22,University
Daniel M. Roy 0001,University 26,University
Joshua B. Tenenbaum,University 20,University
Ryan Rifkin,Company 30,Company
Vikash K. Mansinghka,Company 6,Company
David Buchman,Company 16,Company
David Poole 0001,Company 22,Company
Mark Schmidt 0001,Company 21,Company
Nando de Freitas,University 18,University
Shakir Mohamed,Company 6,Company
Michael H. Bowling,Company 21,Company
Michael Johanson,University 22,University
Cristian Sminchisescu,Company 23,Company
Liefeng Bo,Company 23,Company
Matt Taddy,Company 26,Company
Nicolò Cesa-Bianchi,University 14,University
Sham M. Kakade,Company 22,Company
Sébastien Bubeck,Company 29,Company
Alexander Ihler,University 13,University
James R. Foulds,University 10,University
Nicholas Navaroli,University 19,University
Padhraic Smyth,University 24,University
Alberto Giovanni Busetto,University 28,University
Joachim M. Buhmann,Company 17,Company
Morteza Haghir Chehreghani,Company 21,Company
Nizar Bouguila,Company 22,Company
Wentao Fan,University 10,University
Judea Pearl,Company 6,Company
Jerry Jenkins,University 29,University
Akiko Takeda,Company 13,Company
Taiji Suzuki,Company 13,Company
Takafumi Kanamori,Company 13,Company
Ayse Erkan,Company 24,Company
Yasemin Altun,University 6,University
Andreas Ruttor,Company 14,Company
Manfred Opper,University 20,University
Moritz Grosse-Wentrup,University 14,University
Morteza Alamgir,University 19,University
Yasemin Altun,University 9,University
Zhengdong Lu,Company 9,Company
Dan Stowell,University 8,University
Mark D. Plumbley,University 2,University
Dunja Mladenic,Company 12,Company
Tadej Stajner,Company 15,Company
Ilya Sutskever,Company 20,Company
James Martens,University 28,University
Justin Thaler,Company 27,Company
Li-Yang Tan,Company 26,Company
Rocco A. Servedio,Company 2,Company
Nello Cristianini,Company 19,Company
Roberto Franzosi,Company 9,Company
Saatviga Sudhahar,Company 9,Company
Kim Steenstrup Pedersen,University 9,University
Marco Loog,University 7,University
Pieter van Dorst,University 8,University
Andreas Töscher,Company 6,Company
Michael Jahrer,University 12,University
Katherine A. Heller,University 29,University
Zoubin Ghahramani,Company 24,Company
Michalis K. Titsias,University 25,University
Alexander R. Statnikov,Company 25,Company
Constantin F. Aliferis,Company 27,Company
Daan Fierens,University 24,University
Hendrik Blockeel,University 22,University
Jesse Davis,Company 9,Company
Nima Taghipour,University 3,University
Michael L. Littman,Company 3,Company
Sanjoy Dasgupta,University 4,University
A. Robert Calderbank,Company 18,Company
Aarti Singh,University 23,University
Robert D. Nowak,University 13,University
Arto Klami,Company 14,Company
Samuel Kaski,Company 22,Company
Seppo Virtanen,University 16,University
Suleiman A. Khan,University 30,University
Patrick Pletscher,University 24,University
Pushmeet Kohli,Company 9,Company
Dominik Janzing,Company 3,Company
Joris M. Mooij,Company 21,Company
David P. Helmbold,University 14,University
Philip M. Long,University 21,University
Ofer Dekel,University 25,University
Ohad Shamir,Company 20,Company
Dhruv Batra,Company 29,Company
Pushmeet Kohli,University 11,University
Sebastian Nowozin,University 1,University
Honglak Lee,Company 3,Company
Min Sun,Company 3,Company
Murali Telaprolu,University 27,University
Silvio Savarese,University 12,University
Aapo Hyvärinen,University 11,University
Janardhan Rao Doppa,University 12,University
Jed Irvine,Company 21,Company
John Walker Orr,Company 24,Company
Mohammad NasrEsfahani,University 22,University
Prasad Tadepalli,University 10,University
Shahed Sorower,University 7,University
Thomas G. Dietterich,Company 22,Company
Xiaoli Z. Fern,University 18,University
David B. Dunson,Company 9,Company
Geoffrey J. Gordon,Company 24,Company
Ricardo Bezerra de Andrade e Silva,Company 26,Company
Zoubin Ghahramani,Company 28,Company
Gavin C. Cawley,University 21,University
Gideon Dror,University 20,University
Isabelle Guyon,University 29,University
Vincent Lemaire 0001,University 10,University
Raphaël Féraud,Company 29,Company
Tanguy Urvoy,Company 17,Company
Jeremy Lewi,Company 21,Company
Liam Paninski,University 30,University
Robert J. Butera,Company 5,Company
Cristian Sminchisescu,Company 10,Company
Fuxin Li,Company 5,Company
Jue Wang,Company 21,Company
Yu-Hong Dai,University 11,University
Yun-Shan Fu,University 5,University
Masakazu Ishihata,University 19,University
Taisuke Sato,Company 19,Company
Alexander Ihler,University 14,University
Tianbing Xu,University 10,University
Hamed Valizadegan,Company 15,Company
Rong Jin 0001,University 19,University
Shijun Wang,University 4,University
Alexander Lorbert,Company 13,Company
Peter J. Ramadge,Company 29,Company
Duy Khuong Nguyen,Company 5,Company
Khoat Than,University 23,University
Pham Ngoc Khanh,Company 19,Company
Tu Bao Ho,University 20,University
Jianbo Shi,University 21,University
Timothée Cour,University 9,University
Daniel M. Roy 0001,University 9,University
Eric Jonas,Company 30,Company
Joshua B. Tenenbaum,University 19,University
Vikash Mansinghka 0001,Company 25,Company
Gavin C. Cawley,University 8,University
Seungjin Choi,Company 15,Company
Sunho Park,University 19,University
Jane de Winter,Company 7,Company
John Smith Jones,Company 17,Company
Peter Grünwald,Company 13,Company
Élouise Smith,Company 9,Company
Dacheng Tao,Company 25,Company
Jun Li 0010,University 21,University
Mans Hulden,University 22,University
Akihiro Yamamoto,University 28,University
Mahito Sugiyama,University 5,University
Fares Hedayati,Company 16,Company
Peter L. Bartlett,University 28,University
Alexander R. Statnikov,Company 9,Company
André Elisseeff,University 29,University
Constantin F. Aliferis,Company 6,Company
Gregory F. Cooper,University 3,University
Isabelle Guyon,University 8,University
Jean-Philippe Pellet,University 16,University
Peter Spirtes,University 12,University
Dilan Görür,University 12,University
Katherine A. Heller,Company 14,Company
Yee Whye Teh,Company 21,Company
Borja Balle,Company 16,Company
Jorge Castro,University 27,University
Ricard Gavaldà,Company 6,Company
David Barber,University 27,University
Thomas Furmston,University 7,University
Michael I. Jordan,University 10,University
Romain Thibaux,University 13,University
Ivor W. Tsang,Company 28,Company
Jinfeng Zhuang,University 9,University
Steven C. H. Hoi,Company 26,Company
Changzhang Wang,University 17,University
Jianxin Yin,Company 16,Company
You Zhou 0001,University 27,University
Zhi Geng,University 21,University
Nathan Nan Liu,Company 8,Company
Qiang Yang 0001,Company 24,Company
Tianqi Chen,Company 30,Company
Yong Yu 0001,Company 3,Company
Zhao Zheng,University 22,University
Han Liu,Company 3,Company
Jian Zhang 0003,University 17,University
Jaakko Peltonen,Company 30,Company
Samuel Kaski,University 29,University
Andreas Ziehe,Company 29,Company
Florin Popescu,Company 21,Company
Guido Nolte,Company 10,Company
Klaus-Robert Müller,University 7,University
Nicole Krämer 0002,University 23,University
Masamichi Shimosaka,University 16,University
Rui Fukui,Company 26,Company
Ryoma Kawajiri,Company 23,Company
Tomomasa Sato,University 28,University
Bert Kappen,University 25,University
Mohammad Gheshlaghi Azar,University 15,University
Vicenç Gómez,Company 12,Company
Han Liu,University 30,University
Jaime G. Carbonell,University 19,University
Xi Chen 0010,University 23,University
Chunquan Liang,University 12,University
Qun Song 0003,Company 30,Company
Yang Zhang,University 11,University
Gilles Louppe,Company 3,Company
Pierre Geurts,University 26,University
András György 0001,University 7,University
Csaba Szepesvári,Company 25,Company
Péter Torma,University 5,University
Han Liu 0001,Company 22,Company
Tuo Zhao,Company 17,Company
Fernando De la Torre,University 30,University
Minh Hoai Nguyen,University 29,University
Antoine Bordes,Company 8,Company
Jason Weston,University 27,University
Xavier Glorot,University 14,University
Yoshua Bengio,Company 6,Company
Sébastien Guérif,University 25,University
Daisuke Okanohara,Company 8,Company
Hirotaka Hachiya,University 28,University
Ichiro Takeuchi,University 16,University
Masashi Sugiyama,University 29,University
Taiji Suzuki,University 6,University
Takafumi Kanamori,University 6,University
Kilho Shin,University 7,University
Jacob D. Abernethy,University 28,University
Shie Mannor,University 27,University
Anna Choromanska,Company 23,Company
Claire Monteleoni,Company 1,Company
Ales Erjavec,Company 29,Company
Blaz Zupan,Company 13,Company
Crtomir Gorup,University 2,University
Lan Umek,Company 6,Company
Mojca Mattiazzi,University 26,University
Petra Kaferle,Company 18,Company
Tomaz Curk,University 24,University
Uros Petrovic,University 2,University
Manqi Zhao,Company 16,Company
Venkatesh Saligrama,University 29,University
Arthur Gretton,Company 14,Company
Carlos Guestrin,University 2,University
Danny Bickson,University 4,University
Le Song,Company 11,Company
Yucheng Low,Company 3,Company
Alex Po Leung,University 28,University
Arto Klami,University 8,University
John Shawe-Taylor,University 5,University
Jorma Laaksonen,University 5,University
Jussi Kujala,University 15,University
Kitsuchart Pasupa,University 24,University
Peter Auer,University 6,University
Samuel Kaski,University 14,University
Zakria Hussain,University 28,University
Aarti Singh,Company 30,Company
Brian Eriksson,Company 10,Company
Gautam Dasarathy,Company 19,Company
Robert D. Nowak,Company 13,Company
Hisashi Kashima,University 26,University
Kohei Hayashi,University 20,University
Ryota Tomioka,University 6,University
Takashi Takenouchi,Company 5,Company
Doina Precup,University 28,University
Yuri Grinberg,University 20,University
Brian Kulis,University 8,University
Inderjit S. Dhillon,Company 16,Company
Suvrit Sra,University 12,University
Dazhuo Li,Company 30,Company
Patrick Shafto,Company 10,Company
Bernhard Schölkopf,Company 24,Company
Mingrui Wu,Company 17,Company
Colin de la Higuera,University 2,University
Jeffrey Heinz,University 25,University
Tim Oates 0001,Company 22,Company
Wei Gao 0008,University 22,University
Zhi-Hua Zhou,University 20,University
Matthias Hein 0001,Company 4,Company
Syama Sundar Rangapuram,Company 23,Company
Ilias N. Flaounas,University 4,University
Justin Lewis,Company 6,Company
Nello Cristianini,Company 4,Company
Nick Mosdell,Company 9,Company
Omar Ali,Company 16,Company
Tijl De Bie,University 17,University
Carlos Guestrin,University 13,University
Joseph K. Bradley,University 30,University
Caoxie Zhang,Company 6,Company
Honglak Lee,Company 17,Company
Kang G. Shin,Company 4,Company
David Lisuk,Company 24,Company
Jianjun Xie,Company 4,Company
Liang Tian,University 9,University
Matthias Blume,Company 25,Company
Scott Leishman,Company 18,Company
Seongjoon Koo,Company 25,Company
David A. Sontag,University 3,University
Tommi S. Jaakkola,University 2,University
Ambuj Tewari,Company 24,Company
Karthik Sindharan,Company 6,Company
Ohad Shamir,Company 8,Company
Sham M. Kakade,Company 2,Company
Alexander J. Smola,University 14,University
Deepak Agarwal,University 8,University
Lihong Li 0001,University 26,University
Csaba Szepesvári,University 23,University
Dávid Pál,Company 30,Company
Yasin Abbasi-Yadkori,University 21,University
John Shawe-Taylor,Company 26,Company
Tristan Fletcher,Company 5,Company
Zakria Hussain,University 27,University
Alfred M. Bruckstein,Company 2,Company
Daniel Vainsencher,University 15,University
Shie Mannor,Company 10,Company
Alexandra Carpentier,Company 7,Company
Rémi Munos,University 18,University
Peter Orbanz,University 21,University
Sinead Williamson,Company 5,Company
Zoubin Ghahramani,University 6,University
Hannes Nickisch,University 2,University
Matthias W. Seeger,University 3,University
Andrew J. Connolly,Company 14,Company
Barnabás Póczos,University 19,University
Jake VanderPlas,University 20,University
Jeff G. Schneider,University 27,University
Liang Xiong,University 9,University
Amir Globerson,Company 11,Company
Sam T. Roweis,Company 12,Company
Michael Habeck,Company 4,Company
Abhradeep Thakurta,University 16,University
Adam D. Smith,University 22,University
Daniel Kifer,Company 2,Company
Dakan Wang,Company 18,Company
Edward Y. Chang,Company 13,Company
Zhihua Zhang,Company 25,Company
Gerardo Hermosillo Valadez,University 30,University
Glenn Fung,Company 29,Company
Jennifer G. Dy,Company 9,Company
Linda Moy,Company 28,Company
Luca Bogoni,University 1,University
Mark Schmidt 0001,University 27,University
Rómer Rosales,University 8,University
Yan Yan,University 4,University
Carlos Guestrin,University 6,University
Joseph Gonzalez 0001,University 25,University
Yucheng Low,University 9,University
András György 0001,Company 30,Company
Csaba Szepesvári,Company 24,Company
Gergely Neu,Company 5,Company
Claudia Eckert 0001,Company 13,Company
Colin de la Higuera,University 13,University
Hasan Ibne Akram,Company 22,Company
Alexander J. Smola,Company 30,Company
Choon Hui Teo,University 4,University
Le Song,University 16,University
Jérôme Malick,Company 8,Company
Miroslav Dudík,Company 16,Company
Zaïd Harchaoui,University 11,University
Frederick Eberhardt,Company 24,Company
Patrik O. Hoyer,University 20,University
Richard Scheines,University 18,University
Hongyuan Zha,Company 19,Company
Shuang-Hong Yang,University 2,University
Steven P. Crain,Company 25,Company
Chihiro Shibata,Company 18,Company
Ryo Yoshinaka,Company 2,Company
Peter Auer,Company 6,Company
Shiau Hong Lim,University 4,University
Hamed Valizadegan,University 12,University
Milos Hauskrecht,Company 14,Company
Saeed Amizadeh,University 1,University
Karsten M. Borgwardt,Company 21,Company
Kurt Mehlhorn,University 17,University
Nino Shervashidze,Company 22,Company
S. V. N. Vishwanathan,Company 7,Company
Tobias Petri,Company 28,Company
Anton Chechetka,Company 16,Company
Carlos Guestrin,Company 21,Company
Frank Konietschke,University 5,University
Gilles Blanchard,Company 28,Company
Jonathan D. Rosenblatt,University 13,University
Kornelius Rohmeyer,Company 27,Company
Marsel Scheer,University 24,University
Niklas Hack,Company 24,Company
Thorsten Dickhaus,University 11,University
Wiebke Werft,Company 3,Company
Dirk Husmeier,Company 22,Company
Marco Grzegorczyk,University 15,University
Jun Morimoto,Company 25,Company
Takamitsu Matsubara,Company 28,Company
Tetsuro Morimura,University 22,University
Aapo Hyvärinen,University 29,University
Kun Zhang 0001,Company 18,Company
Maria-Florina Balcan,University 25,University
Steve Hanneke,Company 4,Company
Dávid Pál,Company 14,Company
Martin Pal,University 11,University
Tyler Lu,University 2,University
Aki Vehtari,Company 28,Company
Jarno Vanhatalo,Company 30,Company
Antoine Bordes,Company 23,Company
Xavier Glorot,Company 14,Company
Yoshua Bengio,Company 10,Company
David R. Hardoon,University 2,University
John Shawe-Taylor,Company 14,Company
Tom Diethe,Company 8,Company
Zakria Hussain,Company 3,Company
Jiji Zhang,University 28,University
Fabio Corradi,Company 19,Company
Dit-Yan Yeung,Company 16,Company
Yu Zhang 0006,Company 29,Company
Ingo Steinwart,Company 19,Company
Andreas Wendemuth,Company 19,Company
Edin Andelic,University 10,University
Marcel Katz,University 12,University
Martin Schafföner,University 30,University
Sven E. Krüger,Company 16,Company
H. Brendan McMahan,University 4,University
Matthew J. Streeter,Company 22,Company
Mark D. Reid,Company 5,Company
Robert C. Williamson,University 19,University
Kevin Sharp,Company 3,Company
Magnus Rattray,Company 16,Company
Margareta Ackerman,University 26,University
Shai Ben-David,Company 4,Company
Christopher K. I. Williams,University 16,University
Jyri J. Kivinen,Company 21,Company
J. Zico Kolter,University 17,University
Tommi S. Jaakkola,University 4,University
Aleksandrs Slivkins,Company 14,Company
Sébastien Bubeck,Company 3,Company
Ameet Talwalkar,Company 1,Company
Corinna Cortes,University 3,University
Mehryar Mohri,Company 27,Company
Huan Liu 0001,University 9,University
Zheng Zhao,University 12,University
Chao Zhang 0017,University 22,University
Dacheng Tao,University 12,University
Alexander Ihler,Company 6,Company
Qiang Liu 0001,University 30,University
Benjamin Packer,University 22,University
Danny Goodman,University 19,University
Daphne Koller,Company 25,Company
Kevin Miller,Company 4,Company
M. Pawan Kumar,Company 4,Company
Varun Kanade,Company 2,Company
Vitaly Feldman,University 7,University
Doina Precup,University 30,University
Fabian Kaelin,University 7,University
Eric P. Xing,Company 1,Company
Mladen Kolar,Company 3,Company
Yoshua Bengio,University 11,University
Christopher DuBois,University 17,University
Nicholas Navaroli,Company 7,Company
Padhraic Smyth,Company 12,Company
Satyen Kale,University 27,University
András Falus,Company 30,Company
András Millinghoffer,University 29,University
Csaba Szalai,Company 2,Company
Gábor Hullám,Company 18,Company
Peter Antal,Company 23,Company
Guido Nolte,University 28,University
Klaus-Robert Müller,Company 30,Company
Nicole Krämer 0002,Company 12,Company
Stefan Haufe,Company 28,Company
Masashi Sugiyama,University 22,University
Qiang Yang 0001,Company 30,Company
Hanna M. Wallach,Company 2,Company
Ryan Prescott Adams,Company 12,Company
Zoubin Ghahramani,University 24,University
Daniel Tarlow,University 6,University
Inmar E. Givoni,University 28,University
Richard S. Zemel,Company 27,Company
Philippe Rigollet,University 7,University
Xin Tong,Company 24,Company
Paul Kidwell,Company 23,Company
Ryan Hafen,Company 8,Company
Saptarshi Guha,University 14,University
William S. Cleveland,Company 18,Company
Adrien Couëtoux,Company 4,Company
Hassen Doghmen,University 23,University
Mario Milone,University 6,University
Michèle Sebag,Company 9,Company
Mátyás Brendel,Company 21,Company
Olivier Teytaud,Company 9,Company
Decheng Dai,University 14,University
Jing He,Company 23,Company
Olivier Chapelle,Company 13,Company
Peter V. Gehler,Company 15,Company
Ben Recht,Company 1,Company
Nikhil Rao 0001,University 27,University
Robert D. Nowak,University 15,University
Claudio Gentile,University 10,University
Fabio Vitale,University 13,University
Giovanni Zappella,Company 12,Company
Nicolò Cesa-Bianchi,University 12,University
Hao Yang 0033,University 9,University
Jianxin Wu 0001,University 4,University
Ayan Acharya,University 12,University
Eduardo R. Hruschka,Company 16,Company
Joydeep Ghosh,Company 20,Company
Sreangsu Acharyya,University 22,University
Rengül Çetin-Atalay,University 27,University
Volkan Atalay,Company 27,Company
Zerrin Isik,Company 27,Company
Deepak Agarwal,University 11,University
John C. Duchi,University 8,University
Vincent Conitzer,Company 16,Company
Chia-Hsuan Wang,University 4,University
Chih-Jen Lin,Company 8,Company
Cho-Jui Hsieh,University 12,University
Chun-Sung Ferng,Company 8,Company
Hsiang-Fu Yu,Company 9,Company
Hsuan-Tien Lin,Company 12,Company
Hung-Che Lai,University 7,University
Hung-Yi Lo,University 29,University
Kai-Wei Chang,University 29,University
Ken-Yi Lin,Company 18,Company
Shang-Tse Chen,Company 10,Company
Shou-De Lin,Company 30,Company
Tsung-Hsien Chiang,University 23,University
Tsung-Ting Kuo,Company 26,Company
Yi-Kuang Ko,University 18,University
Abhishek Jaiantilal,Company 2,Company
Gregory Z. Grudic,Company 1,Company
Christian Daniel,University 2,University
Gerhard Neumann,Company 1,Company
Jan Peters 0001,Company 23,Company
Cameron E. Freer,Company 11,Company
Daniel M. Roy 0001,Company 18,Company
Ji Won Yoon,University 12,University
K. Hun Mok,University 5,University
Simon P. Wilson 0001,University 7,University
Andrea Vattani,University 29,University
Matus Telgarsky,Company 16,Company
Daniel Stöckel,University 15,University
Francesca Incardona,University 23,University
Jasmina Bogojeska,University 8,University
Maurizio Zazzi,University 25,University
Michal Rosen-Zvi,Company 22,Company
Rolf Kaiser,Company 8,Company
Thomas Lengauer,University 11,University
Jörg Lücke,University 28,University
Marc Henniges,University 10,University
Fabian Moerchen,University 2,University
Kai Zhang 0001,University 6,University
Liang Lan,University 9,University
Zhuang Wang,University 7,University
Jimmy Olsson,Company 22,Company
Jonas Ströjby,University 23,University
Barnabás Póczos,University 8,University
Jeff G. Schneider,Company 5,Company
Hirokazu Kameyama,University 15,University
Jun'ichi Takeuchi,Company 24,Company
Masanori Kawakita,Company 22,Company
Ryota Izumi,Company 2,Company
Tetsuya Takamori,University 9,University
Yi Hu,Company 9,Company
Dong Wang,University 10,University
Hang Li,Company 2,Company
Huxiang Gu,Company 14,Company
Jun Zhao 0001,University 24,University
Kang Liu 0001,University 13,University
Liang Xiang,University 1,University
Liheng Xu,Company 3,Company
Rui Diao,Company 7,Company
Shiming Xiang,Company 12,Company
Siwei Lai,University 21,University
Yang Liu 0021,Company 24,Company
Jin Yu,Company 15,Company
Nicol N. Schraudolph,Company 15,Company
Simon Günter,Company 24,Company
Dean P. Foster,University 20,University
John Blitzer,University 11,University
Sham M. Kakade,Company 21,Company
Jiawei Han 0001,Company 24,Company
Ming Ji,Company 14,Company
Nathan Srebro,University 10,University
Shie Mannor,Company 13,Company
Ben Taskar,Company 4,Company
Daniel D. Lee,Company 6,Company
Shenghuo Zhu,Company 18,Company
Yuanqing Lin,University 16,University
David B. Dunson,University 6,University
Lauren Hannah,University 13,University
Lawrence Carin,University 22,University
Mingyuan Zhou,University 2,University
Nic Schraudolph,Company 8,Company
Albert Bifet,University 6,University
Bernhard Pfahringer,Company 8,Company
Geoff Holmes 0001,University 20,University
Hardy Kremer,University 17,University
Philipp Kranen,University 28,University
Thomas Seidl 0001,University 16,University
Timm Jansen,Company 22,Company
Chris Lovell,University 18,University
Gareth L. Jones 0001,Company 25,Company
Klaus-Peter Zauner,University 6,University
Steve R. Gunn,Company 18,Company
Elias Bareinboim,University 19,University
Judea Pearl,University 19,University
Hans Ulrich Simon,University 14,University
Michael Kallweit,University 30,University
Bert Huang,University 14,University
Tony Jebara,Company 7,Company
Donglin Niu,Company 24,Company
Jennifer G. Dy,Company 5,Company
Zoubin Ghahramani,Company 10,Company
Vitaly Feldman,Company 16,Company
Julian J. McAuley,University 15,University
Tibério S. Caetano,Company 17,Company
Gregory Druck,University 5,University
Mukund Narasimhan,Company 20,Company
Paul A. Viola,Company 29,Company
Anthony D. Joseph,Company 2,Company
Anthony Tran,Company 28,Company
Benjamin I. P. Rubinstein,University 22,University
Blaine Nelson,Company 24,Company
J. Doug Tygar,University 15,University
Ling Huang,Company 14,Company
Satish Rao,Company 20,Company
Shing-hon Lau,University 15,University
Steven J. Lee,University 6,University
Gang Niu 0001,University 24,University
Jun Takagi,University 10,University
Makoto Yamada,University 19,University
Masashi Sugiyama,University 10,University
John Shawe-Taylor,Company 14,Company
Zakria Hussain,University 15,University
Arvind Agarwal,University 2,University
Hal Daumé III,Company 1,Company
Janneke van de Loo,University 9,University
Menno van Zaanen,Company 7,Company
Dumitru Erhan,Company 23,Company
Pascal Vincent,Company 1,Company
Pierre-Antoine Manzagol,University 21,University
Samy Bengio,University 20,University
Yoshua Bengio,Company 8,Company
Masashi Sugiyama,Company 8,Company
S. Derin Babacan,Company 27,Company
Shinichi Nakajima,Company 3,Company
Blaise Hanczar,University 27,University
Jean-Daniel Zucker,Company 8,Company
Malik Sajjad Ahmed Nadeem,University 9,University
Haidong Shi,University 5,University
Liang Lan,University 20,University
Slobodan Vucetic,University 4,University
Zhuang Wang,Company 15,Company
Blaz Zupan,Company 13,Company
Gregor Leban,Company 6,Company
Janez Demsar,University 3,University
Marko Toplak,Company 3,Company
Minca Mramor,Company 25,Company
Tomaz Curk,University 20,University
Jiji Zhang,Company 20,Company
Ricardo Bezerra de Andrade e Silva,Company 3,Company
Jaime G. Carbonell,University 7,University
Liu Yang 0001,Company 26,Company
Steve Hanneke,Company 10,Company
Andrzej Pastusiak,University 21,University
Christopher J. C. Burges,Company 3,Company
Krysta M. Svore,University 11,University
Paul N. Bennett,Company 13,Company
Qiang Wu,University 22,University
David Barber,Company 1,Company
Edward Challis,Company 30,Company
Bernhard Schölkopf,University 29,University
Dominik Janzing,University 4,University
Jonas Peters,Company 26,Company
Louis Wehenkel,Company 11,Company
Pierre Geurts,Company 25,Company
Vân Anh Huynh-Thu,University 1,University
Vladimir Nikulin,Company 1,Company
Kevin P. Murphy,University 23,University
Mark Schmidt 0001,University 21,University
Mark A. Girolami,Company 4,Company
Mingjun Zhong,University 30,University
Henri Maître,University 9,University
Ivan O. Kyrgyzov,University 24,University
Marine Campedel,Company 29,Company
Battista Biggio,University 16,University
Blaine Nelson,Company 3,Company
Pavel Laskov,University 25,University
Jochen Trumpf,Company 30,Company
Nicol N. Schraudolph,University 24,University
Peter Sunehag,University 25,University
S. V. N. Vishwanathan,Company 14,Company
Marius Kloft,Company 6,Company
Pavel Laskov,University 6,University
Chao Zhang 0017,Company 22,Company
Dacheng Tao,Company 24,Company
Alina Beygelzimer,Company 12,Company
John Langford 0001,Company 7,Company
Lev Reyzin,Company 7,Company
Lihong Li 0001,University 27,University
Robert E. Schapire,University 18,University
Dacheng Tao,University 10,University
Tianyi Zhou 0001,Company 9,Company
Dale Schuurmans,Company 9,Company
